Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,11,11.2,11.3,11.4,11.5,11.6,11.7,11.8
10,11,11.2,11.3,11.4,11.5,11.6,11.7,11.9
20,11,11.2,11.3,11.4,11.5,11.6,11.7,11.9
30,11,11.2,11.3,11.4,11.5,11.6,11.8,12
40,11,11.2,11.3,11.4,11.5,11.6,11.8,12.1
50,11,11.2,11.3,11.5,11.6,11.7,11.9,12.2
60,11,11.2,11.3,11.5,11.6,11.8,12,12.3
70,11,11.2,11.3,11.5,11.7,11.8,12.1,12.4
80,11.1,11.2,11.4,11.6,11.7,11.9,12.2,12.6
90,11.1,11.2,11.4,11.6,11.8,12,12.3,12.7
100,11.1,11.2,11.4,11.6,11.9,12.1,12.4,12.8
110,11.1,11.3,11.5,11.7,11.9,12.2,12.6,13
120,11.1,11.3,11.5,11.8,12,12.3,12.7,13.1
130,11.1,11.3,11.6,11.8,12.1,12.4,12.8,13.2
140,11.1,11.4,11.6,11.9,12.2,12.5,12.9,13.4
150,11.2,11.4,11.7,12,12.3,12.6,13,13.5
160,11.2,11.5,11.7,12,12.4,12.7,13.2,13.6
170,11.2,11.5,11.8,12.1,12.5,12.8,13.3,13.8
180,11.3,11.6,11.9,12.2,12.5,12.9,13.4,13.9
190,11.3,11.6,11.9,12.3,12.7,13,13.5,14.1
200,11.3,11.6,12,12.3,12.7,13.1,13.6,14.2
210,11.4,11.7,12,12.4,12.8,13.2,13.8,14.3
220,11.4,11.7,12.1,12.5,12.9,13.3,13.9,14.4
230,11.4,11.8,12.2,12.5,13,13.4,14,14.5
240,11.5,11.8,12.2,12.6,13.1,13.5,14.1,14.6
250,11.5,11.9,12.3,12.7,13.2,13.6,14.2,14.8
260,11.5,11.9,12.4,12.8,13.3,13.7,14.3,14.9
270,11.6,12,12.4,12.8,13.4,13.8,14.4,15
280,11.6,12,12.5,12.9,13.4,13.9,14.5,15.1
290,11.6,12.1,12.5,13,13.5,14,14.6,15.2
300,11.7,12.1,12.6,13,13.6,14.1,14.7,15.3
310,11.7,12.2,12.6,13.1,13.7,14.2,14.8,15.4
320,11.8,12.2,12.7,13.2,13.7,14.3,14.9,15.5
330,11.8,12.2,12.7,13.2,13.8,14.4,15,15.6
340,11.8,12.3,12.8,13.3,13.9,14.4,15.1,15.7
350,11.9,12.3,12.9,13.4,14,14.5,15.2,15.8
360,11.9,12.4,12.9,13.4,14,14.6,15.3,15.9
370,11.9,12.4,12.9,13.5,14.1,14.7,15.3,16
380,11.9,12.4,13,13.5,14.2,14.7,15.4,16.1
390,12,12.5,13,13.6,14.2,14.8,15.5,16.2
400,12,12.5,13.1,13.7,14.3,14.9,15.6,16.2
410,12,12.6,13.2,13.7,14.4,15,15.7,16.3
420,12.1,12.6,13.2,13.8,14.4,15,15.7,16.4
430,12.1,12.6,13.2,13.8,14.5,15.1,15.8,16.5
440,12.1,12.7,13.3,13.9,14.6,15.2,15.9,16.6
450,12.2,12.7,13.3,13.9,14.6,15.2,16,16.6
460,12.2,12.8,13.4,14,14.7,15.3,16.1,16.7
470,12.2,12.8,13.4,14,14.7,15.4,16.1,16.8
480,12.2,12.8,13.5,14.1,14.8,15.4,16.2,16.9
490,12.3,12.9,13.5,14.1,14.8,15.5,16.2,17
500,12.3,12.9,13.5,14.2,14.9,15.6,16.3,17
510,12.3,12.9,13.6,14.2,14.9,15.6,16.4,17.1
520,12.3,12.9,13.6,14.3,15,15.7,16.4,17.2
530,12.3,13,13.7,14.3,15,15.7,16.5,17.2
540,12.4,13,13.7,14.3,15.1,15.8,16.6,17.3
550,12.4,13,13.7,14.4,15.1,15.8,16.6,17.4
560,12.4,13.1,13.8,14.4,15.2,15.9,16.7,17.4
570,12.4,13.1,13.8,14.5,15.2,16,16.7,17.5
580,12.5,13.1,13.8,14.5,15.3,16,16.8,17.5
590,12.5,13.1,13.9,14.6,15.3,16,16.8,17.6
600,12.5,13.2,13.9,14.6,15.4,16.1,16.9,17.7
610,12.5,13.2,13.9,14.7,15.4,16.1,17,17.7
620,12.5,13.2,14,14.7,15.5,16.2,17,17.8
630,12.6,13.2,14,14.7,15.5,16.2,17.1,17.8
640,12.6,13.3,14,14.8,15.5,16.3,17.1,17.9
650,12.6,13.3,14.1,14.8,15.6,16.3,17.2,17.9
660,12.6,13.3,14.1,14.8,15.6,16.4,17.2,18
670,12.6,13.3,14.1,14.9,15.7,16.4,17.2,18
680,12.7,13.4,14.1,14.9,15.7,16.5,17.3,18.1
690,12.7,13.4,14.2,14.9,15.7,16.5,17.3,18.1
700,12.7,13.4,14.2,15,15.8,16.6,17.4,18.2
710,12.7,13.4,14.2,15,15.8,16.6,17.4,18.2
720,12.7,13.4,14.2,15,15.8,16.6,17.5,18.3
730,12.7,13.5,14.3,15,15.9,16.7,17.5,18.3
740,12.7,13.5,14.3,15.1,15.9,16.7,17.5,18.4
750,12.8,13.5,14.3,15.1,15.9,16.7,17.6,18.4
760,12.8,13.5,14.4,15.1,16,16.8,17.6,18.4
770,12.8,13.5,14.4,15.1,16,16.8,17.7,18.5
780,12.8,13.5,14.4,15.2,16,16.8,17.7,18.5
790,12.8,13.6,14.4,15.2,16.1,16.9,17.7,18.6
800,12.8,13.6,14.4,15.2,16.1,16.9,17.8,18.6
810,12.8,13.6,14.5,15.3,16.1,16.9,17.8,18.7
820,12.9,13.6,14.5,15.3,16.2,17,17.8,18.7
830,12.9,13.6,14.5,15.3,16.2,17,17.9,18.7
840,12.9,13.7,14.5,15.3,16.2,17,17.9,18.8
850,12.9,13.7,14.6,15.4,16.2,17.1,18,18.8
860,12.9,13.7,14.6,15.4,16.3,17.1,18,18.8
870,12.9,13.7,14.6,15.4,16.3,17.1,18,18.9
880,12.9,13.7,14.6,15.4,16.3,17.1,18,18.9
890,12.9,13.7,14.6,15.4,16.3,17.2,18.1,18.9
900,13,13.8,14.6,15.5,16.4,17.2,18.1,19
910,13,13.8,14.6,15.5,16.4,17.2,18.1,19
920,13,13.8,14.7,15.5,16.4,17.3,18.2,19
930,13,13.8,14.7,15.5,16.4,17.3,18.2,19.1
940,13,13.8,14.7,15.6,16.5,17.3,18.2,19.1
950,13,13.8,14.7,15.6,16.5,17.3,18.2,19.1
960,13,13.8,14.7,15.6,16.5,17.3,18.3,19.1
970,13,13.8,14.8,15.6,16.5,17.4,18.3,19.2
980,13,13.9,14.8,15.6,16.5,17.4,18.3,19.2
990,13,13.9,14.8,15.6,16.6,17.4,18.4,19.2
1000,13.1,13.9,14.8,15.7,16.6,17.5,18.4,19.3
1010,13.1,13.9,14.8,15.7,16.6,17.5,18.4,19.3
1020,13.1,13.9,14.8,15.7,16.6,17.5,18.4,19.3
1030,13.1,13.9,14.8,15.7,16.6,17.5,18.4,19.3
1040,13.1,13.9,14.9,15.7,16.7,17.5,18.5,19.4
1050,13.1,13.9,14.9,15.7,16.7,17.6,18.5,19.4
1060,13.1,14,14.9,15.8,16.7,17.6,18.5,19.4
1070,13.1,13.9,14.9,15.8,16.7,17.6,18.5,19.4
1080,13.1,14,14.9,15.8,16.7,17.6,18.5,19.5
1090,13.1,14,14.9,15.8,16.7,17.6,18.6,19.5
1100,13.1,14,14.9,15.8,16.8,17.7,18.6,19.5
1110,13.1,14,14.9,15.8,16.8,17.7,18.6,19.5
1120,13.2,14,15,15.9,16.8,17.7,18.6,19.6
1130,13.2,14,15,15.9,16.8,17.7,18.7,19.6
1140,13.2,14,15,15.9,16.8,17.7,18.7,19.6
1150,13.2,14,15,15.9,16.9,17.8,18.7,19.6
1160,13.2,14,15,15.9,16.9,17.8,18.7,19.6
1170,13.2,14.1,15,15.9,16.9,17.8,18.7,19.7
1180,13.2,14.1,15,15.9,16.9,17.8,18.8,19.7
1190,13.2,14.1,15,16,16.9,17.8,18.8,19.7
1200,13.2,14.1,15.1,15.9,16.9,17.8,18.8,19.7
1210,13.2,14.1,15.1,16,16.9,17.8,18.8,19.7
1220,13.2,14.1,15.1,16,17,17.9,18.8,19.8
1230,13.2,14.1,15.1,16,17,17.9,18.8,19.8
1240,13.2,14.1,15.1,16,17,17.9,18.9,19.8
1250,13.2,14.1,15.1,16,17,17.9,18.9,19.8
1260,13.3,14.1,15.1,16,17,17.9,18.9,19.8
1270,13.2,14.1,15.1,16,17,17.9,18.9,19.8
1280,13.3,14.1,15.1,16,17,17.9,18.9,19.9
1290,13.3,14.1,15.1,16.1,17,18,18.9,19.9
1300,13.3,14.1,15.1,16.1,17,18,18.9,19.9
1310,13.3,14.1,15.1,16.1,17.1,18,18.9,19.9
1320,13.3,14.2,15.2,16.1,17.1,18,18.9,19.9
1330,13.3,14.2,15.2,16.1,17.1,18,19,19.9
1340,13.3,14.2,15.2,16.1,17.1,18,19,19.9
