Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,16.6,16.5,16.5,16.4,16.6,16.4,16.6,16.5
10,16.6,16.5,16.5,16.5,16.6,16.4,16.7,16.5
20,16.6,16.5,16.5,16.5,16.6,16.5,16.7,16.6
30,16.6,16.5,16.5,16.5,16.6,16.5,16.7,16.7
40,16.6,16.6,16.5,16.5,16.7,16.6,16.8,16.9
50,16.6,16.6,16.6,16.6,16.7,16.8,17,17.1
60,16.6,16.6,16.7,16.7,16.8,16.9,17.1,17.3
70,16.7,16.7,16.7,16.8,16.9,17.1,17.3,17.6
80,16.7,16.8,16.8,16.9,17.1,17.3,17.5,17.8
90,16.8,16.8,16.9,17.1,17.2,17.5,17.7,18.1
100,16.8,16.9,17.1,17.2,17.4,17.7,17.9,18.3
110,16.9,17,17.2,17.3,17.5,17.9,18.1,18.6
120,16.9,17.1,17.3,17.5,17.7,18.1,18.3,18.9
130,17,17.2,17.4,17.7,17.9,18.3,18.6,19.1
140,17.1,17.3,17.6,17.8,18.1,18.6,18.8,19.4
150,17.1,17.4,17.7,18,18.2,18.8,19,19.6
160,17.2,17.5,17.8,18.1,18.4,19,19.2,19.9
170,17.3,17.6,18,18.3,18.6,19.2,19.4,20.1
180,17.4,17.7,18.1,18.4,18.7,19.4,19.6,20.4
190,17.5,17.8,18.2,18.6,18.9,19.6,19.8,20.6
200,17.5,17.9,18.3,18.7,19.1,19.8,20,20.8
210,17.6,18,18.5,18.9,19.2,19.9,20.2,21
220,17.7,18.1,18.6,19,19.4,20.1,20.4,21.2
230,17.8,18.2,18.7,19.1,19.5,20.3,20.6,21.4
240,17.8,18.3,18.8,19.3,19.7,20.5,20.8,21.6
250,17.9,18.4,18.9,19.4,19.8,20.6,20.9,21.8
260,18,18.5,19,19.5,19.9,20.8,21.1,22
270,18,18.5,19.1,19.6,20.1,20.9,21.2,22.2
280,18.1,18.6,19.2,19.8,20.2,21.1,21.4,22.3
290,18.2,18.7,19.3,19.9,20.3,21.2,21.5,22.5
300,18.2,18.8,19.4,20,20.4,21.3,21.7,22.6
310,18.3,18.8,19.5,20.1,20.6,21.5,21.8,22.8
320,18.3,18.9,19.6,20.2,20.7,21.6,22,22.9
330,18.4,19,19.6,20.3,20.8,21.7,22.1,23.1
340,18.4,19,19.7,20.4,20.9,21.8,22.2,23.2
350,18.5,19.1,19.8,20.4,21,21.9,22.3,23.3
360,18.5,19.1,19.9,20.5,21.1,22,22.4,23.5
370,18.5,19.2,19.9,20.6,21.2,22.1,22.5,23.6
380,18.6,19.3,20,20.7,21.2,22.2,22.6,23.7
390,18.6,19.3,20,20.7,21.3,22.3,22.7,23.8
400,18.7,19.4,20.1,20.8,21.4,22.4,22.8,23.9
410,18.7,19.4,20.2,20.9,21.5,22.5,22.9,24
420,18.8,19.5,20.2,21,21.6,22.6,23,24.1
430,18.8,19.5,20.3,21,21.6,22.7,23.1,24.2
440,18.8,19.6,20.3,21.1,21.7,22.7,23.2,24.3
450,18.9,19.6,20.4,21.1,21.8,22.8,23.3,24.4
460,18.9,19.6,20.4,21.2,21.9,22.9,23.4,24.5
470,18.9,19.7,20.5,21.3,21.9,22.9,23.4,24.5
480,19,19.7,20.5,21.3,22,23,23.5,24.6
490,19,19.8,20.6,21.4,22,23.1,23.6,24.7
500,19,19.8,20.6,21.4,22.1,23.1,23.6,24.8
510,19.1,19.8,20.7,21.5,22.2,23.2,23.7,24.8
520,19.1,19.9,20.7,21.5,22.2,23.3,23.8,24.9
530,19.1,19.9,20.7,21.6,22.3,23.3,23.9,25
540,19.1,19.9,20.8,21.6,22.3,23.4,23.9,25
550,19.2,19.9,20.8,21.6,22.3,23.4,24,25.1
560,19.2,20,20.8,21.7,22.4,23.5,24,25.1
570,19.2,20,20.9,21.7,22.4,23.5,24.1,25.2
580,19.2,20,20.9,21.8,22.5,23.6,24.1,25.3
590,19.2,20.1,20.9,21.8,22.5,23.6,24.2,25.3
600,19.2,20.1,20.9,21.8,22.5,23.6,24.2,25.4
610,19.3,20.1,21,21.8,22.6,23.7,24.3,25.4
620,19.3,20.1,21,21.9,22.6,23.7,24.3,25.4
630,19.3,20.2,21,21.9,22.7,23.8,24.3,25.5
640,19.3,20.2,21.1,21.9,22.7,23.8,24.4,25.5
650,19.4,20.2,21.1,22,22.7,23.8,24.4,25.6
660,19.4,20.2,21.1,22,22.8,23.9,24.5,25.6
670,19.4,20.2,21.1,22,22.8,23.9,24.5,25.7
680,19.4,20.3,21.1,22,22.8,23.9,24.5,25.7
